column_name,data_type,source_table,description,formula_or_logic
open_order_count,INT,r5orderlines+r5orders,Number of distinct open POs (status A/A),COUNT(DISTINCT order_number) where ord_status=A and orl_status=A
back_order_qty,INT,r5orderlines+r5orders,Total quantity on open/pending orders,SUM(orl_ordqty) where ord_status=A and orl_status=A
earliest_open_order_date,DATE,r5orderlines+r5orders,Oldest open order creation date,MIN(ord_created_date) among open orders
nearest_po_number,VARCHAR(50),r5orderlines+r5orders,PO number of the most recently created open order,ROW_NUMBER() ORDER BY ord_created_date DESC = 1
order_inaction_flag,INT,calculated,Flag: stock below min with no open orders,1 if site_oh_qty < min_level AND back_order_qty = 0
trend_ratio,DECIMAL(10.6),calculated,Demand trend (30d vs 150d order rate),(last_30d_order - last_150d_order) / last_150d_order
consumed_150d,INT,hw_part_family_site_equipment_consumption,Total units consumed in last 150 days,SUM(est_total_consumption) where trl_date >= -150d
consumption_rate_150d,DECIMAL(10.6),calculated,Daily consumption rate (150d window),consumed_150d / 150
replenishment_demand_150d,DECIMAL(10.6),calculated,Units consumed during one lead time period,consumption_rate_150d * supplier_lead_time
coverage_150d,DECIMAL(10.6),calculated,Fraction of lead-time demand covered by min stock,LEAST(1.0 min_level / replenishment_demand_150d)
stockout_fraction_150d,DECIMAL(10.6),calculated,Fraction of lead time without stock coverage,1 - coverage_150d
stockout_days_per_cycle_150d,DECIMAL(10.6),calculated,Days without stock per replenishment cycle,stockout_fraction_150d * replenishment_time
cycle_length_days_150d,DECIMAL(10.6),calculated,Days per inventory cycle,(max_level - min_level) / consumption_rate_150d
cycles_per_year_150d,DECIMAL(10.6),calculated,Number of replenishment cycles per year,365 / cycle_length_days_150d
stockout_days_yr_min_150d,DECIMAL(10.6),calculated,Annual stockout days based on supplier lead time,cycles_per_year * stockout_days_per_cycle; capped at 365
stockout_days_min_rep_150d,DECIMAL(10.6),calculated,Annual stockout days based on actual avg replenishment time,(1 - LEAST(1 min/(avg_rep_time*rate))) * avg_rep_time * (365/cycle_length); capped at 365
combined_stockout_days_yr_150d,DECIMAL(10.6),calculated,Combined stockout days (max of supplier-based and actual-rep-based),GREATEST(stockout_days_min_rep_150d stockout_days_yr_min_150d)
stockout_days_yr_rep_150d,DECIMAL(10.6),calculated,Excess stockout days attributable to actual rep time > supplier lead time,GREATEST(0 stockout_days_min_rep_150d - stockout_days_yr_min_150d)
stockout_days_min_share_150d,DECIMAL(10.6),calculated,Share of combined stockout from supplier lead time component,stockout_days_yr_min_150d / combined_stockout_days_yr_150d
stockout_days_rep_share_150d,DECIMAL(10.6),calculated,Share of combined stockout from actual rep time component,stockout_days_yr_rep_150d / combined_stockout_days_yr_150d
site_sum_stockout_days_yr_rep_150d,DECIMAL(10.6),calculated,Site-level sum of stockout_days_yr_rep_150d,SUM(stockout_days_yr_rep_150d) OVER (PARTITION BY site)
site_sum_stockout_days_yr_min_150d,DECIMAL(10.6),calculated,Site-level sum of stockout_days_yr_min_150d,SUM(stockout_days_yr_min_150d) OVER (PARTITION BY site)
site_sum_combined_stockout_days_yr_150d,DECIMAL(10.6),calculated,Site-level sum of combined_stockout_days_yr_150d,SUM(combined_stockout_days_yr_150d) OVER (PARTITION BY site)
structural_risk_combo_criticality_150d,DECIMAL(10.6),calculated,Criticality-weighted combined stockout score,class_weight * combined_stockout_days_yr_150d / 365; class weights: HIGH=1.0 MED=0.75 LOW=0.5
days_of_supply_150d,DECIMAL(10.6),calculated,Days until stockout at current rate,(back_order_qty + site_oh_qty) / consumption_rate_150d
adj_days_of_supply_150d,DECIMAL(10.6),calculated,Days of supply adjusted for demand trend,(back_order_qty + site_oh_qty) / (rate * (1 + trend_ratio))
situational_score_150d,DECIMAL(10.6),calculated,How close to stockout relative to lead time,(supplier_lead_time - adj_days_of_supply) / supplier_lead_time
situational_score_criticality_150d,DECIMAL(10.6),calculated,Criticality-weighted situational score,class_weight * situational_score_150d
overall_score_criticality_150d,DECIMAL(10.6),calculated,Total risk score (structural + situational),situational_score_criticality + structural_risk_combo_criticality
site_sum_situational_score_criticality_150d,DECIMAL(18.6),calculated,Site-level sum of situational_score_criticality,SUM(...) OVER (PARTITION BY site)
site_sum_structural_risk_combo_criticality_150d,DECIMAL(18.6),calculated,Site-level sum of structural_risk_combo_criticality,SUM(...) OVER (PARTITION BY site)
depletion_date_150d,DATE,calculated,Projected date stock reaches zero,CURRENT_DATE + (back_order_qty + site_oh_qty) / rate days
projected_order_date_150d,DATE,calculated,Date by which a new order should be placed,depletion_date - supplier_lead_time
site_total_part_count,INT,calculated,Total number of parts at the site,COUNT(*) OVER (PARTITION BY site)
